              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    8.09   22  0.18  14 13 73  3.44 3.11 2.95
    6.30   16  0.10  14 13 74  3.44 3.11 2.95
    4.00   11  0.04  14 13 73  3.44 3.11 2.95
    4.00    5  0.02  13 12 75  3.41 3.11 2.95
  105.46 1869 192.51  17 13 69  3.41 3.11 2.95
    5.87    7  0.04  15 14 71  3.38 3.11 2.95
    0.00    0  0.00  17 16 67  3.38 3.11 2.95
    4.00    1  0.00  16 16 68  3.38 3.11 2.95
    4.00    0  0.00  17 16 68  3.67 3.17 2.97
  133.41 2071 269.83  18 14 68  3.67 3.17 2.97
    5.27  158  0.81  14 12 74  3.93 3.24 3.00
    0.00    0  0.00  13 12 75  3.93 3.24 3.00
   10.00    1  0.01  14 13 74  3.93 3.24 3.00
    6.67    3  0.02  13 12 75  4.10 3.28 3.01
  106.19 1773 183.87  17 13 70  4.10 3.28 3.01
   47.08  201  9.24  15 13 73  4.17 3.31 3.03
    0.00    0  0.00  13 12 74  4.17 3.31 3.03
   16.00    0  0.01  13 12 74  4.17 3.31 3.03
    0.00    0  0.00  14 13 73  4.56 3.41 3.06
  114.18  853 95.08  16 13 71  4.56 3.41 3.06
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
   97.61 1023 97.47  16 14 70  4.43 3.40 3.06
    0.00    0  0.00  13 13 73  4.43 3.40 3.06
    4.39   51  0.22  14 13 73  4.43 3.40 3.06
    0.00    0  0.00  13 13 74  4.24 3.38 3.05
  200.45  871 170.47  14 14 72  4.24 3.38 3.05
   75.53 1358 100.19  17 15 68  4.22 3.39 3.06
   13.50   24  0.32  14 14 72  4.22 3.39 3.06
   10.00    1  0.01  14 14 72  4.22 3.39 3.06
   29.14    3  0.10  13 13 73  4.04 3.36 3.05
    0.00    0  0.00  13 13 74  4.04 3.36 3.05
  105.17 1875 192.55  19 15 66  3.72 3.31 3.03
    0.00    0  0.00  14 13 73  3.72 3.31 3.03
   16.00    3  0.05  13 13 74  3.72 3.31 3.03
    8.00    1  0.01  13 13 74  3.50 3.27 3.02
    6.40    2  0.02  13 13 75  3.50 3.27 3.02
  105.18 1875 192.60  18 14 68  3.78 3.33 3.04
    6.80   15  0.10  13 13 74  3.78 3.33 3.04
    8.00    1  0.01  14 14 72  3.78 3.33 3.04
   12.00    1  0.02  14 13 73  3.64 3.31 3.04
  236.97  337 78.08  14 14 72  3.64 3.31 3.04
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
  104.63 1887 192.81  18 15 67  3.66 3.32 3.04
    7.00    2  0.01  14 14 73  3.66 3.32 3.04
   11.14    7  0.08  14 14 73  3.66 3.32 3.04
   57.82   68  3.83  14 13 74  3.45 3.28 3.03
    4.00    3  0.01  13 13 73  3.45 3.28 3.03
